Date,Close/Last,Volume,Open,High,Low
02/13/2024,$0.1448,59109780,$0.15,$0.1508,$0.1409
02/12/2024,$0.1521,67387130,$0.1574,$0.1612,$0.1506
02/09/2024,$0.155,83993540,$0.1669,$0.1675,$0.1538
02/08/2024,$0.164,58567610,$0.1648,$0.1695,$0.1609
02/07/2024,$0.165,56932560,$0.1609,$0.1723,$0.155
02/06/2024,$0.1609,59453740,$0.1581,$0.1629,$0.1544
02/05/2024,$0.1561,81264790,$0.172,$0.174,$0.154
02/02/2024,$0.17,57176860,$0.1793,$0.1827,$0.17
02/01/2024,$0.1802,93669290,$0.21,$0.2219,$0.177
01/31/2024,$0.2042,92952690,$0.183,$0.213,$0.177
01/30/2024,$0.1803,87287050,$0.1862,$0.2039,$0.1731
01/29/2024,$0.1869,97837730,$0.1588,$0.1878,$0.1555
01/26/2024,$0.1553,55239280,$0.1634,$0.1654,$0.155
01/25/2024,$0.1627,68931940,$0.1729,$0.1729,$0.1589
01/24/2024,$0.1681,41544220,$0.18,$0.1835,$0.165
01/23/2024,$0.1732,56561530,$0.1821,$0.1834,$0.166
01/22/2024,$0.185,61861230,$0.1627,$0.185,$0.1615
01/19/2024,$0.1649,45800430,$0.17,$0.1701,$0.1587
01/18/2024,$0.1755,61146830,$0.1808,$0.1815,$0.1622
01/17/2024,$0.1802,55740920,$0.1825,$0.1935,$0.1768
01/16/2024,$0.1845,71701810,$0.2038,$0.205,$0.18
01/12/2024,$0.2032,53612680,$0.2108,$0.2143,$0.2014
01/11/2024,$0.2105,58287550,$0.22,$0.2273,$0.21
01/10/2024,$0.2187,71756120,$0.2195,$0.238,$0.213
01/09/2024,$0.213,99047080,$0.23,$0.2373,$0.2124
01/08/2024,$0.252,214570100,$0.2782,$0.308,$0.244
01/05/2024,$0.2382,87740540,$0.232,$0.2392,$0.2068
01/04/2024,$0.2134,43841570,$0.2277,$0.2305,$0.212
01/03/2024,$0.2318,25631630,$0.23,$0.2343,$0.2254
01/02/2024,$0.23,40513010,$0.254,$0.2572,$0.2294
12/29/2023,$0.2572,31315240,$0.2678,$0.2712,$0.2535
12/28/2023,$0.2631,53087480,$0.2449,$0.2716,$0.2449
12/27/2023,$0.2467,32855960,$0.2323,$0.247,$0.2323
12/26/2023,$0.234,39157580,$0.239,$0.24,$0.228
12/22/2023,$0.237,41650630,$0.242,$0.249,$0.2369
12/21/2023,$0.2415,42026160,$0.2532,$0.256,$0.2354
12/20/2023,$0.2521,29886940,$0.251,$0.2599,$0.248
12/19/2023,$0.255,48608540,$0.269,$0.27,$0.2477
12/18/2023,$0.26,45567240,$0.2625,$0.2755,$0.2585
12/15/2023,$0.2559,41474810,$0.2626,$0.2699,$0.2532
12/14/2023,$0.255,35358050,$0.2524,$0.2689,$0.25
12/13/2023,$0.2434,33531840,$0.2339,$0.2468,$0.227
12/12/2023,$0.242,26240660,$0.245,$0.2483,$0.2323
12/11/2023,$0.2489,21844640,$0.2514,$0.2623,$0.2412
12/08/2023,$0.2478,24061180,$0.25,$0.2549,$0.242
12/07/2023,$0.25,22742870,$0.2688,$0.2717,$0.25
12/06/2023,$0.2695,26822710,$0.2601,$0.2815,$0.252
12/05/2023,$0.2564,29113400,$0.269,$0.27,$0.2501
12/04/2023,$0.27,35278730,$0.30,$0.30,$0.269
12/01/2023,$0.29,31381790,$0.307,$0.31,$0.29
11/30/2023,$0.31,29421170,$0.3185,$0.3257,$0.31
11/29/2023,$0.31,35869230,$0.35,$0.3594,$0.31
11/28/2023,$0.3449,22231330,$0.34,$0.3526,$0.3282
11/27/2023,$0.3319,21250600,$0.3135,$0.3341,$0.305
11/24/2023,$0.3216,15791150,$0.318,$0.33,$0.3045
11/22/2023,$0.3287,33851920,$0.3523,$0.3529,$0.315
11/21/2023,$0.3441,45182240,$0.3788,$0.3789,$0.34
11/20/2023,$0.3638,102862700,$0.32,$0.383,$0.3161
11/17/2023,$0.3015,40213090,$0.2682,$0.3027,$0.2657
11/16/2023,$0.26,33598540,$0.2749,$0.2894,$0.2533
11/15/2023,$0.2721,52803200,$0.2921,$0.3269,$0.2701
11/14/2023,$0.27,34077640,$0.2605,$0.2805,$0.257
11/13/2023,$0.2527,26818850,$0.25,$0.2535,$0.2336
11/10/2023,$0.245,20767890,$0.23,$0.245,$0.2215
11/09/2023,$0.2264,22682540,$0.2369,$0.2388,$0.2201
11/08/2023,$0.2344,24760120,$0.2572,$0.2585,$0.2322
11/07/2023,$0.258,29968690,$0.2658,$0.2662,$0.244
11/06/2023,$0.2617,21304100,$0.2848,$0.2849,$0.2554
11/03/2023,$0.2732,22810390,$0.271,$0.2832,$0.2673
11/02/2023,$0.275,28494580,$0.262,$0.2999,$0.2586
11/01/2023,$0.2574,14559130,$0.27,$0.277,$0.2525
10/31/2023,$0.2741,9003444,$0.256,$0.2741,$0.25
10/30/2023,$0.2622,15735420,$0.2661,$0.2745,$0.2514
10/27/2023,$0.2647,15642730,$0.2745,$0.275,$0.2581
10/26/2023,$0.2697,12834420,$0.2696,$0.28,$0.261
10/25/2023,$0.2711,18357180,$0.31,$0.3105,$0.2673
10/24/2023,$0.2981,17687590,$0.2931,$0.315,$0.2858
10/23/2023,$0.2792,17839610,$0.2645,$0.2888,$0.2583
10/20/2023,$0.2622,19731500,$0.278,$0.28,$0.2622
10/19/2023,$0.28,26565870,$0.31,$0.31,$0.28
10/18/2023,$0.3125,18053170,$0.3315,$0.3412,$0.3099
10/17/2023,$0.3353,19051210,$0.33,$0.3484,$0.329
10/16/2023,$0.3218,15150170,$0.3436,$0.3462,$0.3213
10/13/2023,$0.334,20014190,$0.3392,$0.345,$0.3247
10/12/2023,$0.3369,27767680,$0.3687,$0.3698,$0.33
10/11/2023,$0.3682,18935450,$0.3958,$0.4045,$0.3682
10/10/2023,$0.3904,18171610,$0.382,$0.4059,$0.382
10/09/2023,$0.384,29456240,$0.4068,$0.4081,$0.3733
10/06/2023,$0.4166,20073450,$0.4212,$0.4271,$0.4101
10/05/2023,$0.444,19216210,$0.4314,$0.4449,$0.40
10/04/2023,$0.4301,14868850,$0.44,$0.45,$0.4201
10/03/2023,$0.4451,10442270,$0.4485,$0.4539,$0.4351
10/02/2023,$0.4463,18438310,$0.4858,$0.4918,$0.44
09/29/2023,$0.49,15919720,$0.475,$0.4969,$0.475
09/28/2023,$0.4845,6886201,$0.474,$0.49,$0.4699
09/27/2023,$0.4898,20591140,$0.4655,$0.49,$0.46
09/26/2023,$0.47,27331880,$0.4557,$0.5065,$0.45
09/25/2023,$0.4576,14317820,$0.4407,$0.4596,$0.4273
09/22/2023,$0.45,13928420,$0.4489,$0.458,$0.4317
09/21/2023,$0.4433,12488880,$0.4523,$0.4609,$0.4377
09/20/2023,$0.4531,13594830,$0.4777,$0.485,$0.4526
09/19/2023,$0.4768,27471390,$0.47,$0.4953,$0.445
09/18/2023,$0.4619,32931760,$0.4878,$0.488,$0.4557
09/15/2023,$0.4822,30873300,$0.5192,$0.5218,$0.4713
09/14/2023,$0.51,13148470,$0.5164,$0.5331,$0.5046
09/13/2023,$0.51,9575783,$0.5266,$0.529,$0.5061
09/12/2023,$0.5254,13942950,$0.5208,$0.5671,$0.52
09/11/2023,$0.5203,13682220,$0.5047,$0.53,$0.503
09/08/2023,$0.4966,23454540,$0.53,$0.535,$0.485
09/07/2023,$0.537,17653060,$0.53,$0.54,$0.5042
09/06/2023,$0.556,16237950,$0.5881,$0.5973,$0.5525
09/05/2023,$0.5956,17313520,$0.595,$0.6165,$0.58
09/01/2023,$0.5905,21675110,$0.6175,$0.6275,$0.58
08/31/2023,$0.5925,39335140,$0.67,$0.6778,$0.5801
08/30/2023,$0.6725,45788100,$0.636,$0.694,$0.636
08/29/2023,$0.6376,60631550,$0.6068,$0.6888,$0.57
08/28/2023,$0.644,114267800,$0.53,$0.644,$0.5297
08/25/2023,$0.5284,30003060,$0.5008,$0.5453,$0.5004
08/24/2023,$0.5141,28078010,$0.5371,$0.544,$0.4866
08/23/2023,$0.5341,25020220,$0.51,$0.5497,$0.51
08/22/2023,$0.515,33239300,$0.4766,$0.517,$0.476
08/21/2023,$0.4765,20811420,$0.439,$0.4856,$0.4322
08/18/2023,$0.4418,16322390,$0.42,$0.445,$0.42
08/17/2023,$0.4416,21684450,$0.443,$0.4595,$0.4317
08/16/2023,$0.4372,37055120,$0.465,$0.4675,$0.43
08/15/2023,$0.4843,39449390,$0.524,$0.5267,$0.47
08/14/2023,$0.5093,38223440,$0.5214,$0.53,$0.48
08/11/2023,$0.5147,23951170,$0.52,$0.5295,$0.5004
08/10/2023,$0.5214,23658730,$0.537,$0.5374,$0.5086
08/09/2023,$0.5312,28218960,$0.55,$0.5576,$0.5069
08/08/2023,$0.5573,17991690,$0.5481,$0.57,$0.545
08/07/2023,$0.569,48635080,$0.598,$0.598,$0.525
08/04/2023,$0.6027,31320360,$0.66,$0.6612,$0.5922
08/03/2023,$0.6476,24052640,$0.6156,$0.6574,$0.599
08/02/2023,$0.6293,22367600,$0.63,$0.652,$0.602
08/01/2023,$0.6561,35637500,$0.6578,$0.6747,$0.6214
07/31/2023,$0.6452,66619710,$0.56,$0.6544,$0.5555
07/28/2023,$0.542,37500150,$0.534,$0.5759,$0.5201
07/27/2023,$0.5217,35394150,$0.5903,$0.591,$0.5202
07/26/2023,$0.5777,30092860,$0.5546,$0.5849,$0.5455
07/25/2023,$0.5467,41875230,$0.618,$0.6277,$0.545
07/24/2023,$0.609,33345390,$0.64,$0.6437,$0.5876
07/21/2023,$0.6443,40648280,$0.6875,$0.6978,$0.6151
07/20/2023,$0.6652,45266270,$0.735,$0.7476,$0.6512
07/19/2023,$0.7176,99928420,$0.7501,$0.8477,$0.7014
07/18/2023,$0.70,81399770,$0.7008,$0.793,$0.68
07/17/2023,$0.6954,63592110,$0.6749,$0.7315,$0.632
07/14/2023,$0.7068,189412800,$0.575,$0.7379,$0.5629
07/13/2023,$0.5552,26407540,$0.55,$0.56,$0.5305
07/12/2023,$0.5495,33820630,$0.549,$0.5648,$0.5208
07/11/2023,$0.5167,35637060,$0.509,$0.5228,$0.5025
07/10/2023,$0.50,110093300,$0.6386,$0.6399,$0.496
07/07/2023,$0.5531,19963220,$0.5239,$0.5615,$0.5116
07/06/2023,$0.5158,18650050,$0.5384,$0.5386,$0.50
07/05/2023,$0.5498,21886940,$0.55,$0.5599,$0.538
07/03/2023,$0.54,29333170,$0.5058,$0.54,$0.504
06/30/2023,$0.4794,21522140,$0.477,$0.493,$0.4687
